iperf 3.1.3
Linux raspberrypi 4.14.37-v7+ #1111 SMP Thu Apr 26 13:56:59 BST 2018 armv7l
iperf3: error - unable to connect to server: No route to host
iperf 3.1.3
Linux raspberrypi 4.14.37-v7+ #1111 SMP Thu Apr 26 13:56:59 BST 2018 armv7l
iperf3: error - unable to connect to server: No route to host
iperf 3.1.3
Linux raspberrypi 4.14.37-v7+ #1111 SMP Thu Apr 26 13:56:59 BST 2018 armv7l
Time: Thu, 24 May 2018 12:15:01 GMT
Connecting to host 10.2.1.5, port 5201
      Cookie: raspberrypi.1527164101.371742.34090d
      TCP MSS: 1448 (default)
[  5] local 10.2.1.25 port 41022 connected to 10.2.1.5 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 300 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-1.00   sec   693 KBytes  5.67 Mbits/sec    2    134 KBytes       
[  5]   1.00-2.00   sec   761 KBytes  6.23 Mbits/sec    9    211 KBytes       
[  5]   2.00-3.00   sec   378 KBytes  3.09 Mbits/sec    0    267 KBytes       
[  5]   3.00-4.00   sec   438 KBytes  3.59 Mbits/sec   30    279 KBytes       
[  5]   4.00-5.00   sec   526 KBytes  4.31 Mbits/sec    3    304 KBytes       
[  5]   5.00-6.00   sec   165 KBytes  1.35 Mbits/sec    9    147 KBytes       
[  5]   6.00-7.00   sec   525 KBytes  4.30 Mbits/sec    5    338 KBytes       
[  5]   7.00-8.00   sec   513 KBytes  4.21 Mbits/sec    5    341 KBytes       
[  5]   8.00-9.00   sec  50.9 KBytes   417 Kbits/sec    1    351 KBytes       
[  5]   9.00-10.00  sec   475 KBytes  3.89 Mbits/sec   55    356 KBytes       
[  5]  10.00-11.00  sec  62.2 KBytes   510 Kbits/sec    0    368 KBytes       
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    3    320 KBytes       
[  5]  12.00-13.00  sec   136 KBytes  1.11 Mbits/sec   90    225 KBytes       
[  5]  13.00-14.00  sec  97.6 KBytes   799 Kbits/sec    3    127 KBytes       
[  5]  14.00-15.00  sec   304 KBytes  2.49 Mbits/sec    7   33.9 KBytes       
[  5]  15.00-16.00  sec   146 KBytes  1.19 Mbits/sec    0    387 KBytes       
[  5]  16.00-17.00  sec  48.1 KBytes   394 Kbits/sec    1    345 KBytes       
[  5]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0    341 KBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0    305 KBytes       
[  5]  19.00-20.00  sec   132 KBytes  1.08 Mbits/sec   87    223 KBytes       
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    202 KBytes       
[  5]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0    202 KBytes       
[  5]  22.00-23.00  sec   116 KBytes   949 Kbits/sec    1    167 KBytes       
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
[  5]  24.00-25.00  sec   366 KBytes  3.00 Mbits/sec    0    399 KBytes       
[  5]  25.00-26.00  sec  42.4 KBytes   347 Kbits/sec    0    404 KBytes       
[  5]  26.00-27.00  sec  84.8 KBytes   695 Kbits/sec    0    419 KBytes       
[  5]  27.00-28.00  sec  14.1 KBytes   116 Kbits/sec    0    421 KBytes       
[  5]  28.00-29.00  sec  76.4 KBytes   625 Kbits/sec   14    395 KBytes       
[  5]  29.00-30.00  sec  31.1 KBytes   255 Kbits/sec   41    148 KBytes       
[  5]  30.00-31.00  sec   612 KBytes  5.02 Mbits/sec    1    447 KBytes       
[  5]  31.00-32.00  sec  32.5 KBytes   266 Kbits/sec    1    457 KBytes       
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    2    417 KBytes       
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0    372 KBytes       
[  5]  34.00-35.00  sec   383 KBytes  3.14 Mbits/sec   31    192 KBytes       
[  5]  35.00-36.00  sec   249 KBytes  2.04 Mbits/sec    0    461 KBytes       
[  5]  36.00-37.00  sec  18.4 KBytes   151 Kbits/sec   20    419 KBytes       
[  5]  37.00-38.00  sec   187 KBytes  1.53 Mbits/sec   12    110 KBytes       
[  5]  38.00-39.00  sec   485 KBytes  3.97 Mbits/sec    0    498 KBytes       
[  5]  39.00-40.00  sec   214 KBytes  1.75 Mbits/sec    0    537 KBytes       
[  5]  40.00-41.00  sec  87.7 KBytes   719 Kbits/sec    7    420 KBytes       
[  5]  41.00-42.00  sec   682 KBytes  5.59 Mbits/sec    1    223 KBytes       
[  5]  42.00-43.00  sec   266 KBytes  2.17 Mbits/sec    0    556 KBytes       
[  5]  43.00-44.00  sec   239 KBytes  1.96 Mbits/sec    0    595 KBytes       
[  5]  44.00-45.00  sec   164 KBytes  1.34 Mbits/sec    0    632 KBytes       
[  5]  45.00-46.00  sec   414 KBytes  3.39 Mbits/sec    0    680 KBytes       
[  5]  46.00-47.00  sec   356 KBytes  2.92 Mbits/sec    0    731 KBytes       
[  5]  47.00-48.00  sec   226 KBytes  1.85 Mbits/sec    0    776 KBytes       
[  5]  48.00-49.00  sec   417 KBytes  3.42 Mbits/sec    1    812 KBytes       
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    1    652 KBytes       
[  5]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0    492 KBytes       
[  5]  51.00-52.00  sec  1.16 MBytes  9.69 Mbits/sec    1    837 KBytes       
[  5]  52.00-53.00  sec   153 KBytes  1.25 Mbits/sec    0    854 KBytes       
[  5]  53.00-54.00  sec  58.0 KBytes   475 Kbits/sec    0    863 KBytes       
[  5]  54.00-55.00  sec  84.8 KBytes   695 Kbits/sec   15    725 KBytes       
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    0    669 KBytes       
[  5]  56.00-57.00  sec  1.20 MBytes  10.1 Mbits/sec    0    897 KBytes       
[  5]  57.00-58.00  sec   689 KBytes  5.65 Mbits/sec    0    967 KBytes       
[  5]  58.00-59.00  sec   273 KBytes  2.23 Mbits/sec    8    386 KBytes       
[  5]  59.00-60.00  sec  1.44 MBytes  12.1 Mbits/sec    0   1.02 MBytes       
[  5]  60.00-61.00  sec   158 KBytes  1.30 Mbits/sec   41    451 KBytes       
[  5]  61.00-62.00  sec  1.57 MBytes  13.2 Mbits/sec    1   1.07 MBytes       
[  5]  62.00-63.00  sec   178 KBytes  1.46 Mbits/sec   33    568 KBytes       
[  5]  63.00-64.00  sec  1.64 MBytes  13.8 Mbits/sec    0   1.13 MBytes       
[  5]  64.00-65.00  sec   516 KBytes  4.22 Mbits/sec   10   1.15 MBytes       
[  5]  65.00-66.00  sec  1.58 MBytes  13.3 Mbits/sec   28   1.20 MBytes       
[  5]  66.00-67.00  sec   742 KBytes  6.07 Mbits/sec   39   1.23 MBytes       
[  5]  67.00-68.00  sec   181 KBytes  1.49 Mbits/sec    0   1.26 MBytes       
[  5]  68.00-69.00  sec   427 KBytes  3.49 Mbits/sec   46    860 KBytes       
[  5]  69.00-70.00  sec  1.62 MBytes  13.6 Mbits/sec   25   1.30 MBytes       
[  5]  70.00-71.00  sec   498 KBytes  4.07 Mbits/sec    0   1.37 MBytes       
[  5]  71.00-72.00  sec  26.9 KBytes   220 Kbits/sec    3   1.20 MBytes       
[  5]  72.00-73.00  sec  1.76 MBytes  14.8 Mbits/sec   35   1.39 MBytes       
[  5]  73.00-74.00  sec   310 KBytes  2.54 Mbits/sec    2   1.35 MBytes       
[  5]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec   29    721 KBytes       
[  5]  75.00-76.00  sec  1.97 MBytes  16.5 Mbits/sec    9   1.48 MBytes       
[  5]  76.00-77.00  sec  83.4 KBytes   683 Kbits/sec    2   1.17 MBytes       
[  5]  77.00-78.00  sec   691 KBytes  5.65 Mbits/sec   26    283 KBytes       
[  5]  78.00-79.00  sec  1.35 MBytes  11.3 Mbits/sec    0   1.53 MBytes       
[  5]  79.00-80.00  sec   436 KBytes  3.57 Mbits/sec    0   1.61 MBytes       
[  5]  80.00-81.00  sec  55.1 KBytes   452 Kbits/sec   69    611 KBytes       
[  5]  81.00-82.00  sec  2.07 MBytes  17.4 Mbits/sec    0   1.63 MBytes       
[  5]  82.00-83.00  sec   184 KBytes  1.51 Mbits/sec   19   1.47 MBytes       
[  5]  83.00-84.00  sec  1.72 MBytes  14.4 Mbits/sec    1   1.66 MBytes       
[  5]  84.00-85.00  sec   380 KBytes  3.12 Mbits/sec    0   1.72 MBytes       
[  5]  85.00-86.00  sec   676 KBytes  5.53 Mbits/sec    7   1.74 MBytes       
[  5]  86.00-87.00  sec  0.00 Bytes  0.00 bits/sec   30   1.29 MBytes       
[  5]  87.00-88.00  sec  2.35 MBytes  19.7 Mbits/sec    6   1.80 MBytes       
[  5]  88.00-89.00  sec   146 KBytes  1.19 Mbits/sec    0   1.84 MBytes       
[  5]  89.00-90.00  sec   252 KBytes  2.06 Mbits/sec   22   1.71 MBytes       
[  5]  90.00-91.00  sec  2.07 MBytes  17.4 Mbits/sec   61   1.86 MBytes       
[  5]  91.00-92.00  sec   197 KBytes  1.61 Mbits/sec    0   1.90 MBytes       
[  5]  92.00-93.00  sec   591 KBytes  4.83 Mbits/sec    0   2.01 MBytes       
[  5]  93.00-94.00  sec  1018 KBytes  8.36 Mbits/sec    0   2.13 MBytes       
[  5]  94.00-95.00  sec   253 KBytes  2.07 Mbits/sec   22   1.59 MBytes       
[  5]  95.00-96.00  sec   550 KBytes  4.50 Mbits/sec    6    349 KBytes       
[  5]  96.00-97.00  sec  2.13 MBytes  17.9 Mbits/sec    0   2.18 MBytes       
[  5]  97.00-98.00  sec   471 KBytes  3.85 Mbits/sec    3   2.16 MBytes       
[  5]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec   14   1.87 MBytes       
[  5]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec   28    631 KBytes       
[  5] 100.00-101.00 sec  2.63 MBytes  22.0 Mbits/sec    0   2.24 MBytes       
[  5] 101.00-102.00 sec   123 KBytes  1.01 Mbits/sec    0   2.25 MBytes       
[  5] 102.00-103.00 sec   150 KBytes  1.23 Mbits/sec   19   2.05 MBytes       
[  5] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec   92   1.53 MBytes       
[  5] 104.00-105.00 sec  2.69 MBytes  22.6 Mbits/sec    8   2.30 MBytes       
[  5] 105.00-106.00 sec   184 KBytes  1.51 Mbits/sec    2   2.32 MBytes       
[  5] 106.00-107.00 sec  0.00 Bytes  0.00 bits/sec    0   1.93 MBytes       
[  5] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec   44    788 KBytes       
[  5] 108.00-109.00 sec  2.71 MBytes  22.7 Mbits/sec   11   2.37 MBytes       
[  5] 109.00-110.00 sec   642 KBytes  5.25 Mbits/sec    0   2.44 MBytes       
[  5] 110.00-111.00 sec   775 KBytes  6.35 Mbits/sec    0   2.55 MBytes       
[  5] 111.00-112.00 sec   991 KBytes  8.15 Mbits/sec    0   2.61 MBytes       
[  5] 112.00-113.00 sec   424 KBytes  3.47 Mbits/sec   17   1.74 MBytes       
[  5] 113.00-114.00 sec  0.00 Bytes  0.00 bits/sec   19    959 KBytes       
[  5] 114.00-115.00 sec  2.80 MBytes  23.4 Mbits/sec   27   2.67 MBytes       
[  5] 115.00-116.00 sec   157 KBytes  1.29 Mbits/sec    0   2.70 MBytes       
[  5] 116.00-117.00 sec   259 KBytes  2.12 Mbits/sec    0   2.73 MBytes       
[  5] 117.00-118.00 sec   310 KBytes  2.54 Mbits/sec    8   2.07 MBytes       
[  5] 118.00-119.00 sec  0.00 Bytes  0.00 bits/sec   88    468 KBytes       
[  5] 119.00-120.00 sec  2.63 MBytes  22.0 Mbits/sec    0   2.78 MBytes       
[  5] 120.00-121.00 sec   216 KBytes  1.77 Mbits/sec    0   2.82 MBytes       
